,Name
475,"Bach, Alfred"
476,"Bach, Sally"
477,"Bach-Zelewski, Erich von dem"
478,Bachar
479,"Bachl, Eduard"
480,"Bachl, Kaspar"
481,"Bachmann, Josef"
482,"Bachmayer, Georg"
483,Bachstein (Hauptmann)
484,"Backofen, Albert Karl"
485,"Baczyński, Mosche"
486,"Baczyński, Szaja"
487,"Bade, Karl"
488,"Bader, Paul"
489,"Baderot, Alfred"
490,Badia
491,"Badian, David"
492,"Badoglio, Pietro"
493,"Badsi, Mahed"
494,"Badstuebner, Hans"
495,"Baer, Richard"
496,"Bagiński, Henryk"
497,"Bahdaj, Teodor"
498,"Bahir, Moshe"
499,"Bahr, Wilhelm"
500,"Baibak, Vasilii"
501,"Baider, Josef"
502,"Baik, Eva"
503,Baiński
504,"Bajerski, Szlomo"
505,Bajlicki
506,"Bajor, Örnagy"
507,"Bajtel, Idesa"
508,"Bak, Romuald"
509,"Bakacz, Bołeslaus"
510,"Bakal, Nahum"
511,"Baker, Herschel. See: Piekarz, Herszel"
512,"Bakhir, I. I."
513,"Baksht, Aron"
514,Bakszt
515,"Baky, László"
516,Bal
517,"Balaban, Dov"
518,Balashova
519,Balbach
520,"Balbas, Vasilii"
521,Balcarska
522,"Balcer, Natan"
523,"Baldauf, Kurt"
524,"Bale[j]ko, Bazyli"
525,"Balejko, Bazyli. See: Baleko, Bazyli"
526,"Balejko, Konstanty"
527,"Baler, Zoja"
528,"Balevišius, Jonas"
529,"Bali, Meshulam Aron"
530,"Balicki, Jan"
531,"Baljak, Ventura"
532,"Balke, Harry"
533,"Balkányi, Judit"
534,"Ballas, Richard"
535,"Ballmann, Heinrich"
536,"Balluseck, Fritz von"
537,"Balodis, Kārlis"
538,"Balodis, Oskars"
539,"Balogh, András"
540,"Balogh, Károly"
541,"Balonowski, Jan"
542,"Balsam, D."
543,"Balser, Majer"
544,"Balthasar, Anton"
545,"Baltutis, Borisas"
546,Balzer
547,"Balzer, Josef"
548,"Balázs, Jenő"
549,"Balšiūnas, Leonas"
550,"Bamberg, Archbishop of"
551,"Bamberg, Berthold"
552,"Band-Kun, Milica"
553,"Bandekow, Werner"
554,Bandel
555,"Bandera, Stepan"
556,Banderowsky
557,"Bandini, Attilio"
558,"Bandrymer, Jacob"
559,"Baner, George"
560,"Banet, Elemér"
561,Bangert
562,Bania
563,Baniolis
564,"Bank (aka Bańkowski), Johann"
565,Banke
566,"Banker, Jakub"
567,"Bankewitz, Christel"
568,"Bankowski, Johann (Bank)"
569,"Bantaş, Constantin"
570,"Banzer, Georg"
571,"Baposhnikov, Ryfka"
572,"Bar, Rivka"
573,"Barabas, Andrei"
574,"Barac, Mark"
575,"Barad, Karol"
576,"Baramysi, Anna"
577,Baran
578,"Baran, Gregory"
579,"Baran, Jacob"
580,"Baranauskas, Edvardas"
581,"Baranchuk, Mikhail"
582,Baranchukov
583,"Baranek, Jakob"
584,"Baranker, D."
585,Baranovskii
586,"Baranowski, Frank"
587,"Baranowski, Hermann"
588,"Baranskii, Khatskel’ Berkovich"
589,"Barantseva, Nina"
590,"Barash, Ephraim"
591,"Barauskas, Kazys"
592,"Barbakov, Fanya"
593,"Barbanel, Toptia"
594,"Barbato, Dario"
595,"Barber, Kathleen"
596,"Barbera, Gaspero"
597,"Barbie, Klaus"
598,"Barcan, Ion"
599,"Barcza, Vera"
600,"Barczyński, Szymon"
601,"Barda, Franciszek"
602,"Bardi de Fourtou, Albert"
603,"Bardischefsky, Reinhold"
604,"Bardoń, Karol"
605,"Bardza, Juozas. See: Barzda, Juozas"
606,"Barenblatt, Henryk"
607,"Barer, R."
608,"Barfod, Jørgen H."
609,"Barhard, Andreas"
610,"Barillon, Roland"
611,"Barishman, Esther"
612,Barkan family
613,"Barkatz, George"
614,Barkauskas
615,Barkholt
616,"Barnabel, Felicia"
617,Barner
618,"Barnewald, Otto"
619,Baron (Oberleutnant)
620,"Baron, Fred"
621,"Baron, Paul"
622,"Barot, Madeleine"
623,"Baroux, Paul"
624,"Barrau, Jean-Joseph-Guillaume"
625,"Barszony, Vilmos"
626,"Bart, Bernhard"
627,"Barta, Johanna"
628,"Bartato, Dario"
629,"Bartaux, Edmond"
630,Bartel
631,"Bartels, Erich"
632,"Bartels, Hermann"
633,"Bartetzko, Franz"
634,Barth
635,"Barth, Alfred"
636,"Barth, Emil"
637,"Barth, Fritz"
638,"Barth, Jakub"
639,"Barth, Lena"
640,Barthel
641,"Barthel, Rolf"
642,"Bartholl, Heinz"
643,"Bartišauskaitė- Kazlauskienė, Irena"
644,"Bartl, Josef"
645,"Bartman, Moise “Mişu”"
646,Bartoi
647,Bartos
648,"Bartoş, Petre"
649,"Bartsch, Heinz"
650,Bartz
651,"Baruch, Isaak"
652,"Baruch, Salmun"
653,"Barufka, Elsa"
654,"Baruh, Eli"
655,Barwinski
656,"Barzda, Juozas"
657,"Basch, Arnost"
658,"Basch, Esther"
659,"Basello, Giovanbattista"
660,"Baselovich, Dora"
661,"Basen, Anita"
662,"Bashan, Benyamin. See: Blusztejn, Benyamin"
663,Bashinkevitch
664,"Basiel, Sonia"
665,"Baskin, Samuil"
666,"Basnoi, Liubov"
667,Bass family
668,"Bass, Iakov"
669,"Bass, Moishe"
